projectName,src,alt,modalID,basicDescription,description0,description1,description2,link0,linkName0,link1,linkName1,link2,linkName2,link3,linkName3,link4,linkName4,techs
"Jogo do Pong no Scratch","./src/img/proj-scratch-pong.png","Imagem do Jogo do Pong no Scratch.","modal011","Versão do Jogo de Pong com movimentação vertical feito no Scratch.","Uma versão especial do clássico jogo do pong feita no Scratch com base em variáveis, condicionais e funções.","Foi realizado como um desafio de reprodução do mesmo jogo em outras plataformas."," ","https://scratch.mit.edu/projects/1059549889/","Projeto no Scratch"," "," "," "," "," "," "," "," ","Scratch"
"Salve o Planeta no Scratch","./src/img/proj-scratch-salve-o-planeta.png","Imagem do Jogo Salve o Planeta.","modal012","Jogo de clique, onde o plantio de árvores é o princípio para a restauração do planeta Terra.","Jogo voltado à conscientização ambiental utilizando os sprites contidos no Scratch.","Ao clicar nas árvores elas se multiplicam, mas o jogador precisa tomar cuidado para não deixar os problemas ambientais se alastrarem e destruirem o planeta Terra."," ","https://scratch.mit.edu/projects/1162238548/","Projeto no Scratch"," "," "," "," "," "," "," "," ","Scratch"
"Carrinho de Drift","./src/img/proj-tinkercad-carrinho-drift.png","Imagem do projeto do carrinho de Drift.","modal013","Carrinho movido por meio de Drift com 4 motores DC.","Carrinho motorizado movido por meio de Drift. Possui espaço para acoplagem da Shield Robotbit da Kittenbot para Micro:bit, Sensores de Linha com Infravermelho modelo Grove, Sensores Ultrassônicos v2.0 e Sensores RGB TCS3200.","Pode ser montado e desmontado de diversas formas, utilizando programações também diversas."," ","https://www.tinkercad.com/things/huxaQpIZsmd-robo-drift-shield-robotbit-microbit","Protótipo no Tinkercad","https://profgstv.github.io/microbit-carrinho-de-drift-com-controle-analgico/","Programação com Controle Remoto Analógico"," "," "," "," "," "," ","Micro:bit, Javascript, Tinkercad, MakeCode"
"Carrinho de Eixo","./src/img/proj-tinkercad-carrinho-eixo.png","Imagem do projeto do carrinho com eixo.","modal014","Carrinho feito com materiais não estruturados para utilização com eixo de servo motor e movimentação com motor DC.","Carrinho de eixo, montado sobre uma base retangular de acrílico reutilizado, com rodas de tampinhas de leite brancas, motor DC para movimentação e um eixo central movido por um servo motor construído com um canudo plástico e um palito de bambu que permite a rotação.","Sobre a base podem ser utilizados diversos microcontroladores. Nesse projeto é utilizado o Micro:bit com a Shield Robotbit da Kittenbot e configurado um controle remoto com outro Micro:bit por rádio frequência e acelerômetro."," ","https://www.tinkercad.com/things/6tjgtFD3odC-carrinho-de-material-nao-estruturado-com-eixo","Protótipo no Tinkercad","https://github.com/profgstv/microbit-carrinho-de-controle-analogico-com-eixo","Programação com Controle por Acelerômetro"," "," "," "," "," "," ","Micro:bit, Javascript, Tinkercad, MakeCode"
"Tupã-cera","./src/img/proj-github-ciebp-minimal.png","Imagem do tema ciebp-minimal do Tupã-cera.","modal015","Console de Jogos Educativos e Projetos de Programação feito com Batocera Linux e tema ciebp-minimal.","Projeto de console de jogos educativos e projetos de programação, feito com Batocera Linux, que é um sistema operacional de código aberto focado em emulação de jogos retrô. O console utiliza o tema ciebp-minimal, desenvolvido no CIEBP Ângelo Mendes, que oferece uma interface limpa e intuitiva para navegação entre os jogos e projetos.","O tema ciebp-minimal foi projetado para ser simples e eficiente, facilitando a navegação e a seleção de jogos. Ele apresenta um design minimalista, com foco na funcionalidade e na experiência do usuário, com a paleta de cores do CIEBP e jogos com temáticas ou abordagens criativas/educacionais."," ","https://github.com/profgstv/ciebp-minimal","Repositório do tema ciebp-minimal no GitHub"," "," "," "," "," "," "," "," ","Linux"
"Taça de Vinho com Micro:bit","./src/img/proj-makecode-wineglass.png","Imagem do projeto da taça de vinho com Micro:bit.","modal016","Taça de vinho com iluminação dos LEDs padrões do Micro:bit e sensor de acelerômetro.","Projeto de taça de vinho com iluminação dos LEDs padrões do Micro:bit e sensor de acelerômetro para detectar o esvaziamento da taça ao virar.","A iluminação dos LEDs na taça de vinho pode ser programada para responder a diferentes movimentos, criando efeitos visuais interessantes."," ","https://makecode.microbit.org/S39116-67680-86141-77929","Projeto no MakeCode","https://profgstv.github.io/microbit-wine-glass","Página do Projeto no GitHub Pages"," "," "," "," "," "," ","Micro:bit, MakeCode"
"Ponteiros de LED com Micro:bit","./src/img/proj-makecode-radio-pointers.png","Imagem do projeto dos ponteiros de LED com Micro:bit.","modal017","Ponteiros de LED controlados por Acelerômetro e Rádio Frequência com Micro:bit.","Projeto de ponteiros de LED controlados por Acelerômetro e Rádio Frequência com Micro:bit. O projeto utiliza dois Micro:bits, um como transmissor e outro como receptor, para controlar os ponteiros de LED com base na inclinação do transmissor.","O Micro:bit transmissor utiliza o sensor de acelerômetro para detectar a inclinação e envia os dados para o Micro:bit receptor via rádio frequência. O Micro:bit receptor então controla os ponteiros de LED com base nos dados recebidos, permitindo que os ponteiros se movam de acordo com a inclinação do transmissor."," ","https://makecode.microbit.org/S07919-41941-17286-44914","Projeto no MakeCode","https://profgstv.github.io/microbit-led-pointers","Página do Projeto no GitHub Pages"," "," "," "," "," "," ","Micro:bit, MakeCode"
"Shooters com Micro:bit","./src/img/proj-makecode-radio-shooters.png","Imagem do projeto de Shooters de LED com Micro:bit","modal018","Interação entre dois ou mais Micro:Bits em estilo de jogo de Shooters.","Projeto de interação entre dois ou mais Micro:Bits em estilo de jogo de Shooters, onde os jogadores podem atirar uns nos outros utilizando LEDs e sensores de movimento.","O jogo pode ser utilizado para ensinar conceitos básicos de programação, eletrônica e comunicação sem fio, além de promover a interação social entre os jogadores."," ","https://makecode.microbit.org/S74200-62926-55799-70958","Projeto no MakeCode","https://profgstv.github.io/shooters","Página do Projeto no GitHub Pages"," "," "," "," "," "," ","Micro:bit, MakeCode"
"Red Alert com GitHub Pages","./src/img/proj-github-red-alert.png","Imagem do site Red Alert hospedado no GitHub Pages.","modal019","Projeto de site Red Alert hospedado no GitHub Pages.","Projeto de site Red Alert hospedado no GitHub Pages, para introdução ao ecossistema e aos conceitos básicos de desenvolvimento web, utilizando HTML e CSS.","O site Red Alert pode ser acessado através do link fornecido, e foi projetado para favorecer a aprendizagem do desenvolvimento web."," ","https://profgstv.github.io/Red-Alert","Página do site no GitHub Pages","https://github.com/profgstv/Red-Alert","Repositório do Projeto no GitHub"," "," "," "," "," "," ","HTML, CSS"
"CatFlix","./src/img/proj-github-catflix.png","Imagem do site CatFlix hospedado no GitHub Pages.","modal020","Projeto de site CatFlix hospedado no GitHub Pages.","Protótipo de site CatFlix hospedado no GitHub Pages, que é uma plataforma de streaming fictícia dedicada a filmes e séries sobre gatos. O site é desenvolvido utilizando HTML, CSS e JavaScript, e apresenta uma interface amigável e visualmente atraente.","O site CatFlix pode ser acessado através do link fornecido e foi desenvolvido como um projeto de aprendizado para praticar habilidades de desenvolvimento web."," ","https://profgstv.github.io/CatFlix","Página do site no GitHub Pages","https://github.com/profgstv/CatFlix","Repositório do Projeto no GitHub"," "," "," "," "," "," ","HTML, CSS, Javascript"
"CatFlix Plus","./src/img/proj-github-catflix-plus.png","Imagem do site CatFlix Plus hospedado no GitHub Pages.","modal021","Projeto de site CatFlix Plus hospedado no GitHub Pages.","Protótipo de site CatFlix Plus hospedado no GitHub Pages, que trabalha alguns fundamentos de responsividade e de linkagem com o CatFlix. O site é desenvolvido utilizando HTML, CSS e JavaScript.","O site CatFlix Plus pode ser acessado através do link fornecido e foi desenvolvido como um projeto de referência para praticar habilidades básicas de desenvolvimento web."," ","https://profgstv.github.io/CatFlix-Plus","Página do site no GitHub Pages","https://github.com/profgstv/CatFlix-Plus","Repositório do Projeto no GitHub"," "," "," "," "," "," ","HTML, CSS, Javascript"
"Orgrafic","./src/img/proj-github-orgrafic.png","Imagem do app de salas de leitura e bibliotecas.","modal022","Protótipo de Aplicativo Desktop para organização de bibliotecas e salas de leitura.","Projeto escrito em Python, visando a utilização por escolas e espaços de leitura autônomos que necessitam de uma feramenta simples mas muito útil e que controla dados de livros e empréstimos por usuários.","Código simples que pode ser replicado tanto na utilização prática como nas aulas de programação."," ","https://github.com/profgstv/orgrafic","Projeto no GitHub"," "," "," "," "," "," "," "," ","Linux, Python"
"Navegame.py","./src/img/proj-github-navegame.py.png","Imagem do jogo de desvio com naves em Python.","modal023","Protótipo de Jogo de naves com desvio feito em pygame.","Projeto escrito em Python, utilizando pygame e com sistemas simples de colisão, salvamento de recordes, controle de dificuldade e telas de início/game over.","O jogo utiliza formas geométricas simples e também há disponível a versão com sprites."," ","https://github.com/profgstv/Navegame.py","Projeto no GitHub (minimalista)","https://github.com/profgstv/Navegame.py/tree/com-sprites","Projeto no GitHub (com Sprites)","https://profgstv.itch.io/navegamepy", "Projeto no Itch.io"," "," "," "," ","Python, Linux"
"Olá Fábrica","./src/img/proj-godot-ola-fabrica.png","Imagem do jogo estilo TopDown "Olá Fábrica".","modal024","Jogo protótipo de introdução à engine Godot desenvolvido com inspiração na Fábrica de Cultura 4.0 de São Bernardo do Campo/SP.","Jogo 2D no estilo TopDown, utilizando sprites gerados com a ferramenta LPC Universal Sprite Sheet Generator e tilesets autorais para a movimentação e simulação de um ambiente inspirado na Fábrica de Cultura de São Bernardo do Campo/SP.","Introdução de mecânicas básicas como movimentação, física, colisões, cenas de protótipo, página inicial e dialogos modais acionados por Area2D, envio de sinaise comunicação entre diferentes objetos.","Com as mecânicas desse protótipo é possível criar um RPG simples e envolvente.","https://github.com/profgstv/godot-ola-fabrica","Projeto no GitHub","https://profgstv.itch.io/ola-fabrica","Projeto no Itch.io"," "," "," "," "," "," ","Godot, Linux, HTML"
"Inimigos Animados","./src/img/proj-construct-inimigos-animados.png","Imagem do jogo estilo plataforma com inimigos animados.","modal025","Jogo protótipo de introdução às mecânicas de plataforma e de IA para inimigos na engine Construct 3.","Jogo de plataforma simples criado no Construct 3 para a demonstração de mecânicas de IA dos inimigos com movimento senóide, física e perseguição do jogador.","Movimentação do jogador com WASD e ataque com a tecla Espaço."," ","https://github.com/profgstv/Construct-3-Inimigos-Animados","Projeto no GitHub","https://profgstv.itch.io/inimigos-animados","Projeto no Itch.io"," "," "," "," "," "," ","Construct 3, HTML"
"Inimigos Saltitantes","./src/img/proj-construct-inimigos-saltitantes.png","Imagem do jogo estilo plataforma com inimigos saltitantes.","modal026","Jogo protótipo no estilo plataforma com movimentação em pulos da IA e spawn contínuo aleatório dos inimigos.","Jogo de plataforma simples criado no Construct 3 para a demonstração de mecânicas de IA, com movimentação aleatória, fisica de pulo, com spawn contínuo e em posições aleatórias dos inimigos.","Movimentação do jogador com WASD e ataque com a tecla Espaço."," ","https://github.com/profgstv/Construct-3-Inimigos-Saltitantes","Projeto no GitHub","https://profgstv.itch.io/inimigos-saltitantes","Projeto no Itch.io"," "," "," "," "," "," ","Construct 3, HTML"
"Escolha: Goku ou Vegeta?","./src/img/proj-github-escolhas.png","Imagem do jogo Web com escolhas.","modal027","Jogo-Site protótipo de escolhas básico desenvolvido em HTML, CSS e Javascript.","Jogo-Site protótipo de escolhas com opções e um sistema que integra no ecossistema Web as linguagens HTML, CSS e Javascript.","Demonstração de mecanismos que podem ser utilizados na criação de um jogo com uma narrativa mais complexa inspirado em produções literárias ou da cultura pop."," ","https://github.com/profgstv/prototipo-jogo-de-escolha","Projeto no GitHub","https://profgstv.github.io/prototipo-jogo-de-escolha/","Página do Projeto no GitHub Pages"," "," "," "," "," "," ","HTML, CSS, Javascript"
